emp_id_1,emp_id_2,weight
mr..thomas.white.E0471@neosmith.com,laura.owens.E0740@neosmith.com,0.61
susan.kennedy.E1251@neosmith.com,travis.gregory.E0620@neosmith.com,0.34
terry.bird.E3599@neosmith.com,jennifer.gonzales.E4842@neosmith.com,0.55
stephen.gonzalez.E0389@neosmith.com,mary.olson.E0735@neosmith.com,0.35
angela.jackson.E3008@neosmith.com,robert.davis.E3178@neosmith.com,0.41
corey.francis.E3198@neosmith.com,susan.villa.E4122@neosmith.com,0.63
christopher.medina.E1692@neosmith.com,jeffery.ortega.E4378@neosmith.com,0.45
jamie.johnson.E2169@neosmith.com,dennis.mcneil.E4713@neosmith.com,0.53
james.serrano.E1622@neosmith.com,briana.carpenter.E1098@neosmith.com,0.34
kelly.trujillo.E1119@neosmith.com,tiffany.williams.E2989@neosmith.com,0.49
christine.meyers.E1672@neosmith.com,michael.williamson.E1477@neosmith.com,0.75
gregory.walton.E1713@neosmith.com,kyle.collins.E2319@neosmith.com,0.72
jeffrey.thompson.E0444@neosmith.com,charles.shepherd.E4614@neosmith.com,0.71
kaitlyn.nunez.E1639@neosmith.com,virginia.santiago.E1529@neosmith.com,0.29
mark.russell.E1039@neosmith.com,uzumaki.naruto.E0013@neosmith.com,0.25
shannon.campos.E0481@neosmith.com,dr..keith.dixon.E0163@neosmith.com,0.59
stephen.west.E1162@neosmith.com,william.reed.E2483@neosmith.com,0.63
amber.frank.E0409@neosmith.com,jeffrey.davis.E3648@neosmith.com,0.7
edwin.adams.E0716@neosmith.com,sierra.gonzales.E2554@neosmith.com,0.92
daisy.may.E1865@neosmith.com,andrea.miller.E1757@neosmith.com,0.92
jessica.sanders.E0572@neosmith.com,jacqueline.sharp.E1905@neosmith.com,0.62
christopher.rodriguez.E0634@neosmith.com,melissa.johnson.E2818@neosmith.com,0.68
david.johnson.E0532@neosmith.com,paul.hernandez.E3524@neosmith.com,0.45
steven.wood.E3928@neosmith.com,thomas.zuniga.E1411@neosmith.com,0.93
heather.becker.E4467@neosmith.com,arthur.pierce.E0322@neosmith.com,0.61
eric.strong.E0352@neosmith.com,michelle.baker.E3227@neosmith.com,0.31
katherine.richardson.E0543@neosmith.com,matthew.fuentes.E3885@neosmith.com,0.39
alicia.cook.E3763@neosmith.com,tracy.schmitt.E4910@neosmith.com,0.85
lisa.mcdaniel.E1452@neosmith.com,michele.miller.E1196@neosmith.com,0.86
craig.myers.E0613@neosmith.com,eric.wright.E2868@neosmith.com,0.62
kyle.kennedy.E3203@neosmith.com,kathleen.walls.E4432@neosmith.com,0.52
richard.lee.E4223@neosmith.com,sarah.riley.E3729@neosmith.com,0.36
adrienne.mckenzie.E0534@neosmith.com,daniel.hopkins.E3854@neosmith.com,0.39
michael.beasley.E1367@neosmith.com,aimee.mcclain.E2617@neosmith.com,0.73
julie.austin.E2254@neosmith.com,matthew.myers.E0065@neosmith.com,0.54
amanda.chavez.E4397@neosmith.com,lisa.clark.E0423@neosmith.com,0.49
alexander.williams.E0057@neosmith.com,christopher.johnson.E0309@neosmith.com,0.86
thomas.stewart.E0051@neosmith.com,linda.thompson.E3727@neosmith.com,0.79
katrina.greene.E0802@neosmith.com,devin.roberts.E0383@neosmith.com,0.28
tristan.gill.dds.E3548@neosmith.com,jennifer.payne.E0135@neosmith.com,0.9
shawn.hernandez.E0122@neosmith.com,randall.oconnell.E4957@neosmith.com,0.61
james.cortez.E3097@neosmith.com,alan.wallace.E2172@neosmith.com,0.92
gregory.phillips.E3173@neosmith.com,debra.fox.E2931@neosmith.com,0.42
anthony.lee.E1663@neosmith.com,derrick.johnson.E4543@neosmith.com,0.67
jennifer.cameron.E3770@neosmith.com,ronald.thomas.E4057@neosmith.com,0.59
edward.green.E1313@neosmith.com,steven.rogers.E3265@neosmith.com,0.71
fred.chavez.E3082@neosmith.com,nathaniel.mcknight.E3246@neosmith.com,0.38
michael.mccarty.E1558@neosmith.com,stacy.garcia.E2032@neosmith.com,0.92
angela.valdez.E2398@neosmith.com,mr..thomas.white.E0471@neosmith.com,0.37
mr..jonathan.villarreal.E4657@neosmith.com,holly.scott.E4277@neosmith.com,0.68
