employee_id,skill_id,proficiency
thomas.anderson.E0001@neosmith.com,SKILL_DDB6691A,5
thomas.anderson.E0001@neosmith.com,SKILL_CC9AD54B,3
thomas.anderson.E0001@neosmith.com,SKILL_880761C0,3
thomas.anderson.E0001@neosmith.com,SKILL_288BC984,4
agent.smith.E0002@neosmith.com,SKILL_697651E3,2
agent.smith.E0002@neosmith.com,SKILL_83C13EAB,4
agent.smith.E0002@neosmith.com,SKILL_855A73EC,5
agent.smith.E0002@neosmith.com,SKILL_288BC984,4
agent.smith.E0002@neosmith.com,SKILL_2F487A99,3
morpheus.E0003@neosmith.com,SKILL_087054E4,3
morpheus.E0003@neosmith.com,SKILL_288BC984,3
morpheus.E0003@neosmith.com,SKILL_CC9AD54B,3
trinity.E0004@neosmith.com,SKILL_CBFF6FA1,5
trinity.E0004@neosmith.com,SKILL_288BC984,5
trinity.E0004@neosmith.com,SKILL_087054E4,5
billy.butcher.E0005@neosmith.com,SKILL_697651E3,5
billy.butcher.E0005@neosmith.com,SKILL_087054E4,2
billy.butcher.E0005@neosmith.com,SKILL_71F7A49B,4
billy.butcher.E0005@neosmith.com,SKILL_CC9AD54B,2
billy.butcher.E0005@neosmith.com,SKILL_855A73EC,2
hughie.campbell.E0006@neosmith.com,SKILL_087054E4,2
hughie.campbell.E0006@neosmith.com,SKILL_2F487A99,5
hughie.campbell.E0006@neosmith.com,SKILL_880761C0,4
annie.january.E0007@neosmith.com,SKILL_71F7A49B,2
annie.january.E0007@neosmith.com,SKILL_288BC984,2
annie.january.E0007@neosmith.com,SKILL_CBC99400,5
annie.january.E0007@neosmith.com,SKILL_697651E3,2
homelander.E0008@neosmith.com,SKILL_71F7A49B,3
homelander.E0008@neosmith.com,SKILL_2F487A99,3
homelander.E0008@neosmith.com,SKILL_CBC99400,3
luke.skywalker.E0009@neosmith.com,SKILL_CBFF6FA1,4
luke.skywalker.E0009@neosmith.com,SKILL_855A73EC,2
luke.skywalker.E0009@neosmith.com,SKILL_2F487A99,4
leia.organa.E0010@neosmith.com,SKILL_855A73EC,4
leia.organa.E0010@neosmith.com,SKILL_CBFF6FA1,4
leia.organa.E0010@neosmith.com,SKILL_71F7A49B,2
obi-one.kenobi.E0011@neosmith.com,SKILL_DDB6691A,3
obi-one.kenobi.E0011@neosmith.com,SKILL_F31AC2D4,3
obi-one.kenobi.E0011@neosmith.com,SKILL_2F487A99,2
obi-one.kenobi.E0011@neosmith.com,SKILL_83C13EAB,2
obi-one.kenobi.E0011@neosmith.com,SKILL_60C996F5,3
darth.vader.E0012@neosmith.com,SKILL_5A98FC10,3
darth.vader.E0012@neosmith.com,SKILL_880761C0,2
darth.vader.E0012@neosmith.com,SKILL_CC9AD54B,4
darth.vader.E0012@neosmith.com,SKILL_AE8F6BBD,5
uzumaki.naruto.E0013@neosmith.com,SKILL_2F487A99,4
uzumaki.naruto.E0013@neosmith.com,SKILL_288BC984,5
uzumaki.naruto.E0013@neosmith.com,SKILL_AE8F6BBD,5
uchiha.sasuke.E0014@neosmith.com,SKILL_CC9AD54B,2
uchiha.sasuke.E0014@neosmith.com,SKILL_855A73EC,4
uchiha.sasuke.E0014@neosmith.com,SKILL_83C13EAB,5
uchiha.sasuke.E0014@neosmith.com,SKILL_288BC984,2
uchiha.sasuke.E0014@neosmith.com,SKILL_880761C0,3
uchiha.itachi.E0015@neosmith.com,SKILL_880761C0,4
uchiha.itachi.E0015@neosmith.com,SKILL_855A73EC,4
uchiha.itachi.E0015@neosmith.com,SKILL_AE8F6BBD,5
uchiha.itachi.E0015@neosmith.com,SKILL_CBC99400,3
haruno.sakura.E0016@neosmith.com,SKILL_DDB6691A,2
haruno.sakura.E0016@neosmith.com,SKILL_2F487A99,2
haruno.sakura.E0016@neosmith.com,SKILL_5CA78BBD,3
haruno.sakura.E0016@neosmith.com,SKILL_CC9AD54B,2
michael.scott.E0017@neosmith.com,SKILL_60C996F5,5
michael.scott.E0017@neosmith.com,SKILL_288BC984,4
michael.scott.E0017@neosmith.com,SKILL_83C13EAB,4
dwight.schrute.E0018@neosmith.com,SKILL_F31AC2D4,3
dwight.schrute.E0018@neosmith.com,SKILL_83C13EAB,2
dwight.schrute.E0018@neosmith.com,SKILL_CBC99400,4
dwight.schrute.E0018@neosmith.com,SKILL_DDB6691A,4
jim.halpert.E0019@neosmith.com,SKILL_F31AC2D4,5
jim.halpert.E0019@neosmith.com,SKILL_CBC99400,2
jim.halpert.E0019@neosmith.com,SKILL_5A98FC10,5
jim.halpert.E0019@neosmith.com,SKILL_83C13EAB,4
jim.halpert.E0019@neosmith.com,SKILL_CC9AD54B,4
pam.beesly.E0020@neosmith.com,SKILL_71F7A49B,5
pam.beesly.E0020@neosmith.com,SKILL_CBC99400,2
pam.beesly.E0020@neosmith.com,SKILL_880761C0,4
pam.beesly.E0020@neosmith.com,SKILL_83C13EAB,2
jake.peralta.E0021@neosmith.com,SKILL_0D350D51,5
jake.peralta.E0021@neosmith.com,SKILL_2F487A99,5
jake.peralta.E0021@neosmith.com,SKILL_DDB6691A,2
raymond.holt.E0022@neosmith.com,SKILL_288BC984,4
raymond.holt.E0022@neosmith.com,SKILL_0D350D51,2
raymond.holt.E0022@neosmith.com,SKILL_CBC99400,3
terry.jeffords.E0023@neosmith.com,SKILL_F31AC2D4,4
terry.jeffords.E0023@neosmith.com,SKILL_288BC984,5
terry.jeffords.E0023@neosmith.com,SKILL_880761C0,5
terry.jeffords.E0023@neosmith.com,SKILL_DDB6691A,3
terry.jeffords.E0023@neosmith.com,SKILL_855A73EC,3
rosa.diaz.E0024@neosmith.com,SKILL_F20C5F42,2
rosa.diaz.E0024@neosmith.com,SKILL_CBC99400,5
rosa.diaz.E0024@neosmith.com,SKILL_83C13EAB,2
william.howard.E0025@neosmith.com,SKILL_CBC99400,4
william.howard.E0025@neosmith.com,SKILL_71F7A49B,2
william.howard.E0025@neosmith.com,SKILL_880761C0,3
william.howard.E0025@neosmith.com,SKILL_288BC984,5
william.howard.E0025@neosmith.com,SKILL_B953923E,4
james.robinson.E0026@neosmith.com,SKILL_DDB6691A,5
james.robinson.E0026@neosmith.com,SKILL_0D350D51,3
james.robinson.E0026@neosmith.com,SKILL_71F7A49B,4
tara.brown.E0027@neosmith.com,SKILL_83C13EAB,5
tara.brown.E0027@neosmith.com,SKILL_EC028BB8,3
tara.brown.E0027@neosmith.com,SKILL_F31AC2D4,5
tara.brown.E0027@neosmith.com,SKILL_0D350D51,2
tara.brown.E0027@neosmith.com,SKILL_71F7A49B,2
sharon.sanders.E0028@neosmith.com,SKILL_F31AC2D4,5
sharon.sanders.E0028@neosmith.com,SKILL_DDB6691A,5
sharon.sanders.E0028@neosmith.com,SKILL_F20C5F42,3
sharon.sanders.E0028@neosmith.com,SKILL_2F487A99,2
robert.lucas.E0029@neosmith.com,SKILL_CBC99400,2
robert.lucas.E0029@neosmith.com,SKILL_CC9AD54B,5
robert.lucas.E0029@neosmith.com,SKILL_880761C0,5
robert.lucas.E0029@neosmith.com,SKILL_71F7A49B,4
robert.lucas.E0029@neosmith.com,SKILL_DDB6691A,2
william.lewis.E0030@neosmith.com,SKILL_288BC984,3
william.lewis.E0030@neosmith.com,SKILL_BEC9DED8,2
william.lewis.E0030@neosmith.com,SKILL_80631C9A,3
william.lewis.E0030@neosmith.com,SKILL_71F7A49B,4
william.lewis.E0030@neosmith.com,SKILL_CBC99400,2
david.stewart.E0031@neosmith.com,SKILL_CBC99400,3
david.stewart.E0031@neosmith.com,SKILL_2F487A99,5
david.stewart.E0031@neosmith.com,SKILL_80631C9A,3
melanie.perez.E0032@neosmith.com,SKILL_288BC984,4
melanie.perez.E0032@neosmith.com,SKILL_F31AC2D4,2
melanie.perez.E0032@neosmith.com,SKILL_2F487A99,4
melanie.perez.E0032@neosmith.com,SKILL_89548964,5
alice.jimenez.E0033@neosmith.com,SKILL_89548964,4
alice.jimenez.E0033@neosmith.com,SKILL_288BC984,3
alice.jimenez.E0033@neosmith.com,SKILL_E5CAD5B9,4
miss.kimberly.clark.E0034@neosmith.com,SKILL_CBC99400,2
miss.kimberly.clark.E0034@neosmith.com,SKILL_880761C0,4
miss.kimberly.clark.E0034@neosmith.com,SKILL_BEC9DED8,5
miss.kimberly.clark.E0034@neosmith.com,SKILL_B5F84134,3
miss.kimberly.clark.E0034@neosmith.com,SKILL_80631C9A,5
miss.sara.miller.md.E0035@neosmith.com,SKILL_DDB6691A,4
miss.sara.miller.md.E0035@neosmith.com,SKILL_BEC9DED8,2
miss.sara.miller.md.E0035@neosmith.com,SKILL_E5CAD5B9,5
miss.sara.miller.md.E0035@neosmith.com,SKILL_2F487A99,4
christopher.hernandez.E0036@neosmith.com,SKILL_89548964,5
christopher.hernandez.E0036@neosmith.com,SKILL_71F7A49B,3
christopher.hernandez.E0036@neosmith.com,SKILL_855A73EC,3
sheila.cortez.E0037@neosmith.com,SKILL_2F487A99,3
sheila.cortez.E0037@neosmith.com,SKILL_F31AC2D4,2
sheila.cortez.E0037@neosmith.com,SKILL_DDB6691A,2
sheila.cortez.E0037@neosmith.com,SKILL_71F7A49B,4
sheila.cortez.E0037@neosmith.com,SKILL_80631C9A,3
john.conway.E0038@neosmith.com,SKILL_855A73EC,2
john.conway.E0038@neosmith.com,SKILL_527A882E,2
john.conway.E0038@neosmith.com,SKILL_71F7A49B,3
john.conway.E0038@neosmith.com,SKILL_288BC984,4
john.conway.E0038@neosmith.com,SKILL_B8633877,4
alan.cox.E0039@neosmith.com,SKILL_C0F7BDF5,5
alan.cox.E0039@neosmith.com,SKILL_855A73EC,4
alan.cox.E0039@neosmith.com,SKILL_2F487A99,4
joanne.liu.E0040@neosmith.com,SKILL_CBC99400,3
joanne.liu.E0040@neosmith.com,SKILL_CC9AD54B,4
joanne.liu.E0040@neosmith.com,SKILL_721D2429,3
sarah.cook.E0041@neosmith.com,SKILL_527A882E,5
sarah.cook.E0041@neosmith.com,SKILL_DDB6691A,4
sarah.cook.E0041@neosmith.com,SKILL_2F487A99,4
debra.lowe.E0042@neosmith.com,SKILL_880761C0,3
debra.lowe.E0042@neosmith.com,SKILL_2F487A99,5
debra.lowe.E0042@neosmith.com,SKILL_B8633877,5
regina.baker.E0043@neosmith.com,SKILL_721D2429,5
regina.baker.E0043@neosmith.com,SKILL_CBC99400,3
regina.baker.E0043@neosmith.com,SKILL_C0F7BDF5,2
regina.baker.E0043@neosmith.com,SKILL_B8633877,5
regina.baker.E0043@neosmith.com,SKILL_83C13EAB,4
diana.griffin.E0044@neosmith.com,SKILL_C0F7BDF5,3
diana.griffin.E0044@neosmith.com,SKILL_880761C0,2
diana.griffin.E0044@neosmith.com,SKILL_855A73EC,5
diana.griffin.E0044@neosmith.com,SKILL_527A882E,3
danielle.tran.E0045@neosmith.com,SKILL_83C13EAB,5
danielle.tran.E0045@neosmith.com,SKILL_855A73EC,3
danielle.tran.E0045@neosmith.com,SKILL_721D2429,2
betty.moore.E0046@neosmith.com,SKILL_83C13EAB,4
betty.moore.E0046@neosmith.com,SKILL_C0F7BDF5,4
betty.moore.E0046@neosmith.com,SKILL_71F7A49B,3
betty.moore.E0046@neosmith.com,SKILL_880761C0,5
dr..christopher.robertson.E0047@neosmith.com,SKILL_D3D6E857,5
dr..christopher.robertson.E0047@neosmith.com,SKILL_880761C0,4
dr..christopher.robertson.E0047@neosmith.com,SKILL_F31AC2D4,2
dr..christopher.robertson.E0047@neosmith.com,SKILL_CC9AD54B,5
joseph.walker.E0048@neosmith.com,SKILL_69F85FF1,4
joseph.walker.E0048@neosmith.com,SKILL_855A73EC,5
joseph.walker.E0048@neosmith.com,SKILL_DD1DDE98,4
joseph.walker.E0048@neosmith.com,SKILL_2F487A99,4
matthew.sullivan.E0049@neosmith.com,SKILL_CBC99400,4
matthew.sullivan.E0049@neosmith.com,SKILL_83C13EAB,5
matthew.sullivan.E0049@neosmith.com,SKILL_CC9AD54B,5
matthew.sullivan.E0049@neosmith.com,SKILL_855A73EC,5
ryan.diaz.E0050@neosmith.com,SKILL_83C13EAB,2
ryan.diaz.E0050@neosmith.com,SKILL_71F7A49B,2
ryan.diaz.E0050@neosmith.com,SKILL_288BC984,3
thomas.stewart.E0051@neosmith.com,SKILL_2F487A99,4
thomas.stewart.E0051@neosmith.com,SKILL_69F85FF1,3
thomas.stewart.E0051@neosmith.com,SKILL_CBC99400,5
mary.stewart.E0052@neosmith.com,SKILL_F31AC2D4,3
mary.stewart.E0052@neosmith.com,SKILL_69F85FF1,5
mary.stewart.E0052@neosmith.com,SKILL_CC9AD54B,2
mary.stewart.E0052@neosmith.com,SKILL_71F7A49B,3
ellen.nicholson.E0053@neosmith.com,SKILL_F31AC2D4,5
ellen.nicholson.E0053@neosmith.com,SKILL_CBC99400,5
ellen.nicholson.E0053@neosmith.com,SKILL_288BC984,3
ellen.nicholson.E0053@neosmith.com,SKILL_2F487A99,3
ellen.nicholson.E0053@neosmith.com,SKILL_855A73EC,4
amanda.davis.E0054@neosmith.com,SKILL_83C13EAB,2
amanda.davis.E0054@neosmith.com,SKILL_3F2CD78C,4
amanda.davis.E0054@neosmith.com,SKILL_288BC984,2
john.landry.E0055@neosmith.com,SKILL_D3D6E857,2
john.landry.E0055@neosmith.com,SKILL_83C13EAB,5
john.landry.E0055@neosmith.com,SKILL_CBC99400,5
john.landry.E0055@neosmith.com,SKILL_69F85FF1,3
michael.arroyo.E0056@neosmith.com,SKILL_71F7A49B,3
michael.arroyo.E0056@neosmith.com,SKILL_75A423DB,3
michael.arroyo.E0056@neosmith.com,SKILL_855A73EC,4
michael.arroyo.E0056@neosmith.com,SKILL_83C13EAB,3
alexander.williams.E0057@neosmith.com,SKILL_DDB6691A,2
alexander.williams.E0057@neosmith.com,SKILL_CC9AD54B,4
alexander.williams.E0057@neosmith.com,SKILL_2F487A99,5
ian.campbell.E0058@neosmith.com,SKILL_4FB85B92,4
ian.campbell.E0058@neosmith.com,SKILL_B181DCC5,2
ian.campbell.E0058@neosmith.com,SKILL_71F7A49B,3
gary.murray.E0059@neosmith.com,SKILL_71F7A49B,3
gary.murray.E0059@neosmith.com,SKILL_880761C0,2
gary.murray.E0059@neosmith.com,SKILL_4FB85B92,3
gary.murray.E0059@neosmith.com,SKILL_289D13F1,4
gary.murray.E0059@neosmith.com,SKILL_2F487A99,4
kevin.garcia.E0060@neosmith.com,SKILL_289D13F1,5
kevin.garcia.E0060@neosmith.com,SKILL_83C13EAB,4
kevin.garcia.E0060@neosmith.com,SKILL_75A423DB,5
kevin.garcia.E0060@neosmith.com,SKILL_CBC99400,3
kevin.garcia.E0060@neosmith.com,SKILL_880761C0,2
andrew.parker.E0061@neosmith.com,SKILL_83C13EAB,5
andrew.parker.E0061@neosmith.com,SKILL_289D13F1,2
andrew.parker.E0061@neosmith.com,SKILL_B181DCC5,5
yolanda.wagner.E0062@neosmith.com,SKILL_71F7A49B,4
yolanda.wagner.E0062@neosmith.com,SKILL_B181DCC5,4
yolanda.wagner.E0062@neosmith.com,SKILL_DDB6691A,4
yolanda.wagner.E0062@neosmith.com,SKILL_75A423DB,3
yolanda.wagner.E0062@neosmith.com,SKILL_4FB85B92,2
lauren.watson.E0063@neosmith.com,SKILL_CBC99400,3
lauren.watson.E0063@neosmith.com,SKILL_B181DCC5,5
lauren.watson.E0063@neosmith.com,SKILL_289D13F1,5
lauren.watson.E0063@neosmith.com,SKILL_71F7A49B,4
matthew.howe.E0064@neosmith.com,SKILL_CBC99400,4
matthew.howe.E0064@neosmith.com,SKILL_B181DCC5,4
matthew.howe.E0064@neosmith.com,SKILL_CC9AD54B,2
matthew.howe.E0064@neosmith.com,SKILL_83C13EAB,5
matthew.myers.E0065@neosmith.com,SKILL_880761C0,5
matthew.myers.E0065@neosmith.com,SKILL_CC9AD54B,5
matthew.myers.E0065@neosmith.com,SKILL_855A73EC,3
matthew.myers.E0065@neosmith.com,SKILL_78DE6041,2
matthew.myers.E0065@neosmith.com,SKILL_F31AC2D4,2
karen.williams.E0066@neosmith.com,SKILL_CBC99400,5
karen.williams.E0066@neosmith.com,SKILL_78DE6041,5
karen.williams.E0066@neosmith.com,SKILL_288BC984,5
karen.williams.E0066@neosmith.com,SKILL_880761C0,5
karen.williams.E0066@neosmith.com,SKILL_71F7A49B,5
robert.chambers.E0067@neosmith.com,SKILL_880761C0,3
robert.chambers.E0067@neosmith.com,SKILL_288BC984,3
robert.chambers.E0067@neosmith.com,SKILL_86F015E1,5
robert.chambers.E0067@neosmith.com,SKILL_2F487A99,3
robert.chambers.E0067@neosmith.com,SKILL_CC9AD54B,5
leah.morton.E0068@neosmith.com,SKILL_CC9AD54B,4
leah.morton.E0068@neosmith.com,SKILL_E9A11C18,3
leah.morton.E0068@neosmith.com,SKILL_855A73EC,4
leah.morton.E0068@neosmith.com,SKILL_86F015E1,3
leah.morton.E0068@neosmith.com,SKILL_880761C0,3
erica.banks.E0069@neosmith.com,SKILL_CC9AD54B,3
erica.banks.E0069@neosmith.com,SKILL_78DE6041,4
erica.banks.E0069@neosmith.com,SKILL_855A73EC,3
erica.banks.E0069@neosmith.com,SKILL_2F487A99,2
carla.jones.E0070@neosmith.com,SKILL_DDB6691A,5
