id,name,department,influence_score
thomas.anderson.E0001@neosmith.com,Thomas Anderson,Executive,0.95
agent.smith.E0002@neosmith.com,Agent Smith,Marketing,0.65
morpheus.E0003@neosmith.com,Morpheus,Marketing,0.53
trinity.E0004@neosmith.com,Trinity,Marketing,0.42
billy.butcher.E0005@neosmith.com,Billy Butcher,Marketing,0.54
hughie.campbell.E0006@neosmith.com,Hughie Campbell,Marketing,0.58
annie.january.E0007@neosmith.com,Annie January,Marketing,0.59
homelander.E0008@neosmith.com,Homelander,Marketing,0.51
luke.skywalker.E0009@neosmith.com,Luke Skywalker,Marketing,0.56
leia.organa.E0010@neosmith.com,Leia Organa,Marketing,0.51
obi-one.kenobi.E0011@neosmith.com,Obi-one Kenobi,Sales,0.76
darth.vader.E0012@neosmith.com,Darth Vader,Sales,0.74
uzumaki.naruto.E0013@neosmith.com,Uzumaki Naruto,Sales,0.52
uchiha.sasuke.E0014@neosmith.com,Uchiha Sasuke,Sales,0.47
uchiha.itachi.E0015@neosmith.com,Uchiha Itachi,Sales,0.47
haruno.sakura.E0016@neosmith.com,Haruno Sakura,Sales,0.58
michael.scott.E0017@neosmith.com,Michael Scott,Sales,0.43
dwight.schrute.E0018@neosmith.com,Dwight Schrute,Sales,0.52
jim.halpert.E0019@neosmith.com,Jim Halpert,Sales,0.6
pam.beesly.E0020@neosmith.com,Pam Beesly,Engineering,0.79
jake.peralta.E0021@neosmith.com,Jake Peralta,Engineering,0.75
raymond.holt.E0022@neosmith.com,Raymond Holt,Engineering,0.54
terry.jeffords.E0023@neosmith.com,Terry Jeffords,Engineering,0.44
rosa.diaz.E0024@neosmith.com,Rosa Diaz,Engineering,0.49
william.howard.E0025@neosmith.com,William Howard,Engineering,0.72
james.robinson.E0026@neosmith.com,James Robinson,Engineering,0.51
tara.brown.E0027@neosmith.com,Tara Brown,Engineering,0.46
sharon.sanders.E0028@neosmith.com,Sharon Sanders,Engineering,0.64
robert.lucas.E0029@neosmith.com,Robert Lucas,IT,0.69
william.lewis.E0030@neosmith.com,William Lewis,IT,0.53
david.stewart.E0031@neosmith.com,David Stewart,IT,0.55
melanie.perez.E0032@neosmith.com,Melanie Perez,IT,0.48
alice.jimenez.E0033@neosmith.com,Alice Jimenez,IT,0.63
miss.kimberly.clark.E0034@neosmith.com,Miss Kimberly Clark,IT,0.75
miss.sara.miller.md.E0035@neosmith.com,Miss Sara Miller MD,IT,0.43
christopher.hernandez.E0036@neosmith.com,Christopher Hernandez,IT,0.45
sheila.cortez.E0037@neosmith.com,Sheila Cortez,IT,0.46
john.conway.E0038@neosmith.com,John Conway,Risk & Compliance,0.68
alan.cox.E0039@neosmith.com,Alan Cox,Risk & Compliance,0.66
joanne.liu.E0040@neosmith.com,Joanne Liu,Risk & Compliance,0.45
sarah.cook.E0041@neosmith.com,Sarah Cook,Risk & Compliance,0.48
debra.lowe.E0042@neosmith.com,Debra Lowe,Risk & Compliance,0.55
regina.baker.E0043@neosmith.com,Regina Baker,Risk & Compliance,0.71
diana.griffin.E0044@neosmith.com,Diana Griffin,Risk & Compliance,0.42
danielle.tran.E0045@neosmith.com,Danielle Tran,Risk & Compliance,0.53
